essays_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,word_count,reading_ease,nouns,verb,adjectives,adverbs,jaccard
13090,5,In memoir Narciso Rodriguez Home The Blueprints Our Lives The mood author created grateful couragous generosity First memoir The first mood auther created grateful The author states My parents shared cooking duties unwittingly passed rich culinary skills love cooking still today I eternally gratefull That means excited happy parents Passed unstead family members thats gratefull next seconed mood courageous family The author states I often told much courageous thing I could ever done That means times CAPS dad help though life difficulty education work lastly final mood generosity time young The auther states way express spirit generosity impressed upon early age That means mother allways depened work around house yard All memoir Narciso Rodriguez Home The blueprints lives The mood author memoir gratefull courageous generosity,4,3,4,125,60,49,25,21,12,0.46
13091,5,The CAPS CAPS lot CAPS story The CAPS creates mood makes think self family He talks family boy grew The CAPS also spoke parents life He also talkes parents lived neighborhood imigrints The CAPS talks hard parents leave without rest family The CAPS also talkes loves music loves parents well His parents helped gave hope He also uses music simbolize life Now successfull fashion designer,2,2,2,65,80,30,15,3,6,0.33
13092,5,The mood created author proud cuban Proud heritage whole family And grateful parents family,1,1,1,14,75,7,1,4,0,0.29
13093,5,In excerpt Narciso Rodriguez book Home The Blueprints Our Lives author tries create mood complements opinion definition family Narciso Rodriguez born Cuban immigrants busy area New Jersey filled people nationalities It melting pot people parents hard work shaped today The main mood generated throughout passage positive mood exemplified best author positively talks great impact parents Narciso realizes sacrifices hard work parents endure provide Narciso writes My mother father come country courage knowledge language culture They came selflessly many immigrants give children better life even meant leaving behind families friends careers country loved paragraph NUM Narciso parents selfish took huge endeavor going United States However hard work determination couage established LOCATION It positive happy outcome makes mood bright positive In Narciso home writes innocence childhood congregation family friends endless celebrations encompassed formed backdrop life warm home paragraph NUM The use word warm creates bright vibrant mood associated home The idea warmth repeated later passage author writes It warmth kitchen humble house Cuban feast always filled air scent life love paragraph NUM The repetition describing warmth house establishes positive mood Narciso lived neighborhood filled kinds people However despite differences came together friendly united community author write Despite customs elsewhere cultures came together great solidarity friendship paragraph NUM Despite overt racism time community still came together matter This unity community definetely distills happy mood within reader Overall Narciso Rodriguez creates positive mood throughout memoir,4,4,4,231,25,109,39,43,15,0.44
13094,5,The author memoir mood created intence strange happy sad Happy change simple house home Sad hard leave something behind Intence hard move Lastly Strong strong inoff leave behind even though hard,1,2,2,31,85,13,3,9,2,0.28
13095,5,The mood created author memoir luring like read one sentence want read In story says parent start lives But says happy together good old LOCATION Just little mean live fullest Be happy got anything story telling mind So I follow life best like Narciso family,1,1,1,45,85,13,10,12,2,0.37
13096,5,The mood created author memoir mellow talking life greatfuless raised LOCATION Also mood happy said I never forget parents turned simple house home talking parents made LOCATION feel like home Those moods story,2,2,2,33,65,16,9,3,2,0.39
13097,5,The author created memoir created cozy home feeling made The reader feel way The thing I mean cozy home feeling author showed narciso family got along helped people family friends people needed little help,1,1,1,34,60,15,10,4,2,0.32
13098,5,The authors mood towards memior ok I guess In areas low It could better,0,0,0,14,95,4,3,3,0,0.39
13099,5,In excerpt Narciso Rodriguez Narciso Rodriguez mood created Narciso happiness I know following three reasons One way I know mood happiness article said often someone staying us temporarily able get back feet My parent always kept arms door open many people considered family This showed Narciso happy parents nice caring Another way mood happiness article said I learned real definition family For I never forget house gracious neighborhood shows happy find better difiniton family stay house last way mood happiness article said mother father come contry courage without knowledge language culture came selflessly Narciso showed happiness parents made They big change lives This showes mood created happiness His Parents wonderful people,4,3,4,111,50,49,22,20,7,0.45
