essays_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,word_count,reading_ease,nouns,verb,adjectives,adverbs,jaccard
7189,3,The fatures setting affects cyclist story character makes seem like horrible weather example said wide rings dried sweat circled shirt one way setting affects cyclist almost like story imagton character Is going everything written details,1,1,1,35,20,15,11,3,2,0.24
7190,3,The features setting affect cyclist makes hard get CAPS National Park He took advice old men take shortcut get wanted On ride stopped town considered ghost town Then got Welch Grape Juice Factory abandoned years earlier becoming weak dehydrated He thought would drop heatstroke At end ride reached fish camp found water drink A man asked going cyclist told Then man asked Know best way get The man much older old men gave cyclist advice So cyclist told man yes sir I good map The man realized throughout setting journey would never accept advice old timers,1,1,1,96,85,34,26,18,6,0.48
7191,3,In essay Do Not Exceed posted Speed Limit setting affected cyclist sense direction The cyclist knew going get old men told short cut It ruined sense direction taking dated directions old timers left porches since Carter office That setting affected cyclist essay,1,1,1,42,50,16,12,8,1,0.33
7192,3,The features setting affected cyclist great deal I say peace calmness motivates Than lot en stuff around,0,0,0,17,80,9,2,2,0,0.26
7193,3,Steep mountains rolling roads jagged rocks reasons setting affected towards cyclist Well cyclist needs know going MONTH happen For example Rough Rough Do exceed posted speed limit This setting lead lot changes So yes setting reveals lot I guess describes cyclist MONTH react also So yes I think settings affect cyclist whole story,1,1,1,53,75,21,14,9,7,0.39
7194,3,What l believe features setting affect cyclist The old guys story remember things back used bot say book world iso fluid place things change time So cyclist find way try put together piece old guys gave,1,1,1,36,70,16,9,6,3,0.3
7195,3,The features setting affect cyclist put sitting rain ride bike Anther one sitting city nothing around trees rivers,1,1,1,18,75,8,4,1,0,0.4
7196,3,The features setting affect cyclist way deal many things Like ex trouble flat roads replaced short rolling hills The next thing sign posted could ride NUM NUM made disappointed Then large snake blocked majority pavement front He became dehydrated He became sad hopless still energy feel,2,2,2,46,80,16,11,9,4,0.4
7197,3,There several features setting greatly affect cyclist One feature desert biking The heat desert June easily dehydrate someone When exposed long time exercising running water effect even greater In addition change terrain road surface would effect cyclist Traveling flat road requires much less effort climbing hills If road also rough biker work even harder push hill There also mental effort tipping bike uneven surface Finally buildings sight When someone dehydrated water desperate find However nothing know nearby start lose hope Once lose hope try hard keep going lose strength Considering things negatively affecting cyclist amazing managed push reach source water,2,3,3,100,70,41,24,12,14,0.36
7198,3,The setting short story Rough road ahead exceed posted speed limit Joe Kurmaskie troubling cyclist One ramshackleshed several rusty pumps corral hold tamest mule greeted made troubled middle nowhere The quote Not two miles next section ride I noticed terrain changing flat road replaced short rolling hills shows troubled go hills As see setting influental cyclist,2,2,2,56,60,19,15,13,3,0.39
