essays_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,word_count,reading_ease,nouns,verb,adjectives,adverbs,jaccard
10106,4,I think author wrote maybe fells like winter could really show people spring come like flower dead winter,0,0,0,18,55,6,5,2,2,0.22
10107,4,The author concludes story paragraph paragraph talking winter hibiscus geese So author simply writes another concluding paragraph wraps story reader walkes away feel good feeling,1,1,1,25,60,12,6,1,4,0.31
10108,4,In story Winter Hibiscus Minfong Ho explains obstacles Saeng went coming different country In story Saeng failed driving test reminded home tropical flowers Moreover author writes end story referring geese come back Saeng vowed silently spring snow melt geese return hibiscus budding I take test This part story important examines growth hope change us geese come back hibiscus change buetiful blossed flower Furthermore explains give change environment th plant lives geese come back changed environment That part story important reader CAPS concludes Saeng thoughts hopes future wile adapting new enviorment,3,3,3,90,50,37,26,15,6,0.36
10109,4,The author could concluded story paragraph many reason I think author wanted give interseting fact happens hibiscus snows example author explain hibiscus grow things needed grow like sunlight water soil picking waste Maybe author figure explaining snows process begans author could concluded story paragraph many reason I think author wanted give interseting fact happens hibiscus snows example author explain hibiscus grow things needed grow like sunlight water soil picking watste Maybe author figure explaining snows process begans,0,0,0,77,55,38,20,10,4,0.27
10110,4,The author concludes story paragraph Saeng said failed test spring comes back take test The last paragraph reads come back Saeng vowed silently spring snow melts geese return hibiscus budding I take test She really tell us test supposed taking,1,1,1,40,65,13,12,7,4,0.3
10111,4,The reason said wait til spring take test see still like bitter melon Big mac,0,0,0,15,85,8,2,2,1,0.41
10112,4,The author concludes end story paragraph pecause saying take test What means thing next year She addapt life like hibiscus She also saying beest everything world living fullest So aas good conclusion Story,1,1,1,33,90,12,8,4,3,0.27
10113,4,I think reason author concludes story like awhave ending also know story could make,1,1,1,14,70,6,5,0,1,0.3
10114,4,What author concludes spring time snows melts flower comes back makes risk spring time home Which makes relax Also spring time pretty time flowers flower reminds home blessings,1,1,1,28,85,15,7,2,2,0.21
10115,4,Saeng vowed silently spring snows melt geese return hibiscus budding I take test Saeng going wait take test whe n knows past test get licesned Saeng wants licesned drive anywhere wants go So get mom take everywhere wants go take ownself anywhere wants But wait till snows melted takes test,1,1,1,50,90,18,21,6,3,0.3
10116,4,The paragraph shows Saeng lot feelings plants She enjoys plants loves taking time spend plants She means last paragraph cant wait winter leave plants budding enjoy plants,0,0,0,27,95,16,7,1,0,0.35
10117,4,The author concludes story parapraph ties together I think author uses also say spring pass test I really like part says spring snows melt I like explains wants puts mind,1,1,1,30,85,16,7,1,3,0.22
10118,4,The author likely uses paragraph show setting goal cycle start She uses geese symbol spring would start preparing test The hibiscus budding paragraph shows hope start cycle well object reminiscence story In conclusion concluding paragraph uses several symbols devices order convey hope good memories fresh start,2,2,2,46,65,20,11,8,1,0.32
