essays_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,word_count,reading_ease,nouns,verb,adjectives,adverbs,jaccard
14834,6,There many obstacles builders faced attempting dirigibles dock Empire State Building Safety issue dirigibles highly flammable gas hydrogen So dirigibles explode New York many people could killed populated Another problem keeping derigible CAPS people get wind moves back end The way tie lead weights back dirigible would dangerous people So obstacles workers faced never got past made world highest soda fountain tea garden tourists observation area,2,2,2,66,55,29,13,12,6,0.23
14835,6,Him start would many problems allowing dirigibles dock NUM feet air The major problem would Empire State building constructed New York City highly populated area Below mooring mast would several buildings people worked lived If something happened dirigible attempting dock could take building lives people Not city streets pedestrians walked In paragraphs NUM passage also talks stress heavy steel framed airship mooring top building The frame would need dense architects project discovered expensive Other safety issues include high winds would drift dirigibles course safety dirigibles The passage mentions Hindenburg incident well worry owners building happening densely populated area,3,3,3,98,65,37,25,16,6,0.31
14836,6,The builders Empire State Building faced many obstacles attempting allow dirigibles dock one obstacle dirigible would held single cable tether This would add stress building frame order make frame sturdy modifications building framework cost sixty thousand dollars Another obstacle builders faced dirigible use hydrogen highly flammable Since New York densely populated area would work well The dirigibles would also weighted back lead weights In order lead weights would end dangling high pedestrians street safety issue one last obstacle builders faced law airships flying low urban areas This law made illegal ship ever tie building approach area,3,4,4,96,60,42,19,14,6,0.21
14837,6,In passage The Mooring Mast Marcia Amidon CAPS The builders Empire State Building faced opstacles building Empire State Building allowing dirigibles dock One reason Al Smith four term governor New York headed efforts construct Empire State Building years office made tower tall The hight building ft But almost losing title worlds tallest tower announced would top hat put tower Another reason tower made Dirigibles blimps That Could CAPS people New York New Jersey Smith wanted place dirigibles could dock But never happened German dirigible Hindenburg destroyed fire Lakehurst New Jersey May owners State building realized much worse accident could New York In idea dropped another dirigible trying proform stunt The Empire State Building never got fofil made,1,1,1,117,60,56,25,13,4,0.41
14838,6,The builders Empire State Building faced many obstacles attempting allow dirigibles dock The first obstacle faced existing law airships flying low urban areas This made illegal dirigible tie building Another obstacle faced allowing dirigibles dock safety Most dirigibles used hydrogen highly flammable If dirigible caught fire densely populated area New York would good chance many people would hurt A final obstacle faced nature The winds top Empire State building constantly shifting due violent air currents Even though dirigible would attached mooring mast back would move around mooring mast dangerous way Many obstacles faced workers Empire State Building order allow dirigible dock,3,3,3,101,60,35,23,21,7,0.23
14839,6,soon conception The Empire State Building mooring mast doomed fail Early obstacles easily surmounted example problem added stress building frame caused added weight moored airship This fixed structural modifications building frame expensive fairly simple procedure one biggest blows project advent Hindenburg disaster The Hindenburg disaster cause forefront decline airships Airplanes became safer faster designer form transportation In addition Hindenburg disaster soon became clear mooring airship NUM higher feasible Surging winds would allow airship maintain course ship would blown erratically around mast The final nail coffin mooring mast law prohibiting airship travel urban areas These multiple factors easily disallowed possibility successful airship travel future,4,3,4,103,50,49,16,20,7,0.3
14840,6,The builders Empire CAPS Building faced obstacles attempting allow derigibles dock The architects realized could put mooring mast top building without modifying strengthening steel frame building The stress dirigible load wind pressure would add much weight framework could cause collapse They strengthened framework bottom building top putting shiny glass chrome nickel stainless steel tower top building The builders faced obstacles successful completing goal The mooring mast used docking station still looked final peice makes Empire State Building stand buildings downtown New York City,2,3,3,83,60,37,23,11,2,0.31
14841,6,In excerpt The Mooring Mast Marcia Amidon L sted many complications occurred plans construction attempted docking mast One obstacle dirigibles heavy metal frame building would modified After repairing framework Empire State Building two trial runs displayed ORGANIZATION dirigible Los Angeles Goodyear blimp Columbia The result expirament wind current physically allow blimp come close enough building dock Also existing law airships flying low urban cities obstacle could surpass Within years postponing efforts airplanes made way dirigibles transportation long forgotten,3,3,3,78,45,39,15,8,5,0.34
14842,6,The obstacles builders face great They explained dirigibles outside LOCATION use different gas called hydrogen highly flammable Following told LOCATION Hindenburg fire used hydrogen They realized happen urban area could worse Anthore obstacle faced wind If dirigible parked mooring mast violent wind speeds would make Blimp shift cause strees building steel frame The greatest obstacle law passed The law stated airships could fly low urban areas This would keep blimps landing,3,3,3,71,75,25,18,13,2,0.36
14843,6,The builders Empire State Building great idea They wanted able tethered dirigibles blimps top building However many problems idea First blimps sturdy Strong winds could easily blow dirigibles trying dock spires buildings Dirigibles also started use hydrogen gas rather Helium Hydrogen gas extremely flammable The smallest sparking could set whole blimp ablaze The docking system self also problem The way keep dirigible level hang lead weights side One concern way could fall fall densely populated city This could proved disastrous,3,3,3,80,75,33,13,14,8,0.23
