essays_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,word_count,reading_ease,nouns,verb,adjectives,adverbs,jaccard
5978,3,The features setting affect cyclist many ways The features setting affect cyclist lact information go lack water This problem needed water trip directions go,1,1,1,24,70,13,5,3,0,0.29
5979,3,The features setting affected cyclist negative way He desert dry hot I traveling high deserts California June Kurmaskie NUM Also temperature hot made every thing around hot brackish water faling somewhere neighborhood two hundred degrees Kurmaskie NUM Since desert escape sun The text states The sun beginning beat Kurmaskie NUM The cyclist alone road none around either passed one could help growing realization I could drop heatstroke gorgous day June Kurmaskie NUM About forty miles pedal I arrived first town morning fit traditional definition ghost town Kurmaskie NUM Thesettings cyclist riding good ones negativly affected causing dehydrated tiredin end,2,2,2,99,60,41,22,15,7,0.44
5980,3,Everyone travels unfamiliar places Sometimes get lost ask locals directions MONTH good idea The setting affected cyclist He perfectly good map asked older men look like ages The old men apparently gave cyclist wrong directions My advice would listen anyone matter age perfectly good map Also try know going times Yes sir,1,1,1,52,70,21,11,8,6,0.44
5981,3,I believe features cyclist affected impatient trustworthy tock old mens advice take hr time bay taking short cat would stayed true mep almost ared heat impatientress got best took shortcut After experence new haes stat mep trust people havent seen changes last years,1,1,1,43,50,21,10,9,1,0.24
5982,3,The setting effects cyclist setting diffrent story would made sense The setting story dry scaterd ghost towns When reaches first town sees One ramshackle sheds several rusty pumps coral couldnt hold lamesh mule If setting problem water would conflict story In story speeker says I travling high deserts California hot dry says This causes problem hot dry seting forest DATE much problem needing water would made story much less exciting,2,2,2,70,50,27,16,13,3,0.32
5983,3,There many features setting affected cyclist For instance extremely hot dry Also nearly deserted almost places crossed deserted A lost features setting ram shackle shed several rusty pumps corral caldnt hald lamest move feature give idea haw cyclist feels,1,1,1,39,60,17,7,8,5,0.3
5984,3,The cyclist riding tower stopped directions These old men told take short cut got lost He ghost town desert In conclusion desert hot,1,1,1,23,90,8,7,4,0,0.29
5985,3,The affects cyclist change cut hurt lot people feeling CAPS care cyclist I one people care cause affect anyone I know It big deal write people CAPS blow stuff They talking tiv radio making stuff say made I believe I see That CAPS black people anything us We really care affects cyclist,0,0,0,52,85,22,16,6,1,0.33
5986,3,The essay Rough Road Ahead Do Not Exceed Posted Speed Limit describes man bicycle ride California Now California hot summer cyclist riding This setting greatly affects man journey It made difficult finish ride He drank water beginning ride gets dehydrated The text states The water bottles contained tantalizing sips As see setting makes man bikeride hard,2,2,2,56,70,18,19,7,4,0.45
5987,3,In story Rough Road Ahead Do Not Exceed Posted Speed Limit written Joe Kurmaskie represents certain conditions affect cyclist The cyclist biking desert reach Yosemite National Park journey accoutered many tough conditions make difficult get First desert hot makes travel difficult For example text states sun beginning beat CAPS makes task difficult sun drain person energy Secondly trip long cyclist hard time conserving water For instance man drank much water almost ran The water bottle contained dehydration cause death Joe Kurmaskie story Rough Road Ahead Do Not Exceed Posted Speed Limit represents certain conditions environment affect cyclist,2,3,3,97,60,43,24,19,6,0.49
